ID,Component,Component describe,Epic,Epic describe,Story,Story description,Story point,Priority,Sprint,Release,Status,Start date,End date,Attach link
13,Danh mục,Quản lý dữ liệu tĩnh/tham chiếu dùng chung,Quản lý Sản phẩm,Đồng bộ danh mục sản phẩm từ SAP và lưu cấu hình đóng gói,Xem chi tiết sản phẩm,"Với vai trò là **Thủ kho/Nhân viên kho**, tôi muốn xem chi tiết thông tin sản phẩm bao gồm kích thước đóng gói, quy cách, hình ảnh và số lượng tồn kho theo từng vị trí, để phối hợp phân khu xếp hàng.",2,Low,sprint 2,V1.0.0,committed,16/08/2026,30/08/2026,
14,Cấu hình,Tham số và quy tắc vận hành hệ thống,Quản lý KPI,Thiết lập thời gian chuẩn (Leadtime) và SLA cho từng bước nghiệp vụ,Xem danh sách KPI chuẩn,"Với vai trò là **Quản lý Kho**, tôi muốn xem danh sách các chỉ tiêu KPI/SLA áp dụng cho từng nhiệm vụ/phòng ban, để tôi giám sát năng suất làm việc của kho.",2,Medium,sprint 2,V1.0.0,committed,16/08/2026,30/08/2026,
15,Cấu hình,Tham số và quy tắc vận hành hệ thống,Quản lý KPI,Thiết lập thời gian chuẩn (Leadtime) và SLA cho từng bước nghiệp vụ,Cấu hình KPI & SLA chi tiết,"Với vai trò là **Quản lý Kho**, tôi muốn thiết lập trọng số, công thức tính và điều chỉnh thời gian Leadtime chuẩn cho từng loại task, để tiêu chuẩn KPI luôn bám sát thực tế vận hành.",3,High,sprint 2,V1.0.0,committed,16/08/2026,30/08/2026,
16,Cấu hình,Tham số và quy tắc vận hành hệ thống,Quản lý Chân ký,Thiết lập luồng phê duyệt và trình ký tự động qua VOffice,Xem danh sách mẫu chân ký,"Với vai trò là **Quản trị viên Kho/Thủ kho**, tôi muốn xem danh sách các mẫu chân ký và luồng ký số duyệt chứng từ đang có, để tôi kiểm tra tính hợp lệ của luồng trình ký.",2,High,sprint 2,V1.0.0,committed,16/08/2026,30/08/2026,
17,Cấu hình,Tham số và quy tắc vận hành hệ thống,Quản lý Chân ký,Thiết lập luồng phê duyệt và trình ký tự động qua VOffice,Thêm mới mẫu chân ký,"Với vai trò là **Quản trị viên Kho**, tôi muốn tải lên chữ ký số/ảnh chữ ký và gán cho người dùng hoặc chức vụ tương ứng trong luồng ký duyệt, để tạo mới quy trình trình ký tự động.",3,High,sprint 2,V1.0.0,committed,16/08/2026,30/08/2026,
18,Cấu hình,Tham số và quy tắc vận hành hệ thống,Quản lý Chân ký,Thiết lập luồng phê duyệt và trình ký tự động qua VOffice,Chỉnh sửa mẫu chân ký,"Với vai trò là **Quản trị viên Kho**, tôi muốn chỉnh sửa thông tin người ký hoặc cập nhật lại ảnh chữ ký trong mẫu chân ký hiện có, để cập nhật đúng theo thay đổi nhân sự.",2,Medium,sprint 2,V1.0.0,committed,16/08/2026,30/08/2026,
19,Cấu hình,Tham số và quy tắc vận hành hệ thống,Quản lý Chân ký,Thiết lập luồng phê duyệt và trình ký tự động qua VOffice,Xem chi tiết mẫu chân ký,"Với vai trò là **Quản trị viên Kho/Thủ kho**, tôi muốn xem chi tiết thông tin mẫu chân ký, bao gồm danh sách người sở hữu và lịch sử sử dụng để ký duyệt, để đảm bảo tính an toàn và minh bạch.",2,Low,sprint 2,V1.0.0,committed,16/08/2026,30/08/2026,
20,Cấu hình,Tham số và quy tắc vận hành hệ thống,Quản lý RFID,Cấu hình và gắn mã RFID cho từng ô kệ bãi,Mã RFID cho từng kệ,"Với vai trò là **Nhân viên kho/Thủ kho**, tôi muốn quét và gán mã RFID cho từng kệ/vị trí lưu trữ bãi bến, để hệ thống tự động nhận diện vị trí và dẫn đường khi putaway.",5,High,sprint 2,V1.0.0,committed,16/08/2026,30/08/2026,
21,Cấu hình,Tham số và quy tắc vận hành hệ thống,Giám sát an ninh,Tích hợp camera AI giám sát cổng và phát cảnh báo an ninh,Giám sát an ninh,"Với vai trò là **Nhân viên an ninh/Thủ kho**, tôi muốn theo dõi hình ảnh camera AI giám sát cổng kho theo thời gian thực và tự động phát cảnh báo khi phát hiện xe không đúng lịch hẹn.",3,Medium,sprint 2,V1.0.0,committed,16/08/2026,30/08/2026,
22,Cấu hình,Tham số và quy tắc vận hành hệ thống,Phân quyền vai trò,Quản lý phân quyền người dùng không thuộc SAP (non-SAP),Phân quyền theo role,"Với vai trò là **Thủ kho/Admin WMS**, tôi muốn thiết lập vai trò, chức năng phân quyền tác nghiệp (bảo vệ, forklift, phụ kho) trên hệ thống non-SAP, để bảo mật dữ liệu.",5,High,sprint 2,V1.0.0,committed,16/08/2026,30/08/2026,
23,Cấu hình,Tham số và quy tắc vận hành hệ thống,Quản lý Hàng hóa,Cập nhật cấu hình đóng gói và vị trí bãi mặc định,Cập nhật thông tin sản phẩm,"Với vai trò là **Thủ kho/Quản lý Kho**, tôi muốn cập nhật cấu hình sản phẩm có đóng gói hay không và chỉ định khu vực lưu kho mặc định, để tối ưu hóa quy trình nhập.",3,High,sprint 2,V1.0.0,committed,16/08/2026,30/08/2026,
24,Cấu hình,Tham số và quy tắc vận hành hệ thống,Quản lý Quy trình,Cấu hình luồng quy trình nhập kho theo điều kiện vận hành,Cấu hình quy trình luồng nhập kho,"Với vai trò là **Thủ kho/Admin WMS**, tôi muốn cấu hình luồng nhập kho động dựa trên movementtype, đơn vị quản lý, và có KCS hay không, để hệ thống tự động sinh chuỗi task phù hợp.",5,High,sprint 2,V1.0.0,committed,16/08/2026,30/08/2026,
25,Cấu hình,Tham số và quy tắc vận hành hệ thống,Quản lý Quy trình,Tự động kích hoạt task sau & Job tự động phân việc sau 5 phút,Tự động phân công Task kế tiếp,"Với vai trò là **Hệ thống**, tôi muốn tự động kích hoạt/cập nhật thời gian làm việc task sau khi task trước hoàn thành, và tự phân công cho người rảnh phù hợp nếu sau 5 phút không ai nhận việc.",5,High,sprint 2,V1.0.0,committed,16/08/2026,30/08/2026,
26,Nhập kho,"Tiếp nhận order từ SAP, điều phối vận hành tại kho thông qua task, kiểm soát tiến độ theo SLA/KPI, cập nhật tồn kho và đồng bộ trạng thái về SAP.",Luồng nhập mua mới,Quy trình xử lý từ khi SAP đồng bộ order về AIWS đến khi kho hoàn thành task và đồng bộ trạng thái ngược về SAP.,Chụp ảnh minh chứng hoàn thành task,Chụp ảnh thực tế và tải lên làm minh chứng khi hoàn thành task nhập kho,5,High,sprint 2,V1.0.0,committed,16/08/2026,30/08/2026,
27,Quản lý Tài liệu,"Quản lý phiếu xuất nhập kho, biên bản bàn giao và template PDF",Quản lý Phiếu Xuất Nhập Kho,"Tạo, lưu trữ và quản lý các phiếu chứng từ xuất nhập kho dưới dạng PDF",Tạo PDF Phiếu Nhập Kho,"Với vai trò là **Nhân viên kho/Thủ kho**, tôi muốn in phiếu nhập kho có chứa thông tin chi tiết về order nhập và hàng hóa để dùng làm chứng từ lưu trữ và bàn giao.",5,High,sprint 2,V1.0.0,committed,16/08/2026,30/08/2026,
28,Quản lý Tài liệu,"Quản lý phiếu xuất nhập kho, biên bản bàn giao và template PDF",Quản lý Phiếu Xuất Nhập Kho,"Tạo, lưu trữ và quản lý các phiếu chứng từ xuất nhập kho dưới dạng PDF",Tạo PDF Phiếu Xuất Kho,"Với vai trò là **Nhân viên kho/Thủ kho**, tôi muốn in phiếu xuất kho để bàn giao hàng hóa cho đối tác và làm chứng từ.",5,High,sprint 2,V1.0.0,committed,16/08/2026,30/08/2026,
29,Quản lý Tài liệu,"Quản lý phiếu xuất nhập kho, biên bản bàn giao và template PDF",Quản lý Phiếu Xuất Nhập Kho,"Tạo, lưu trữ và quản lý các phiếu chứng từ xuất nhập kho dưới dạng PDF",Tạo PDF Biên Bản Bàn Giao (BBBG),"Với vai trò là **Nhân viên kho/Thủ kho**, tôi muốn tạo biên bản bàn giao ghi nhận tình trạng hàng hóa khi giao nhận để tránh tranh chấp sau này.",5,High,sprint 2,V1.0.0,committed,16/08/2026,30/08/2026,
30,Quản lý Tài liệu,"Quản lý phiếu xuất nhập kho, biên bản bàn giao và template PDF",Quản lý Template PDF,Tùy chỉnh và quản lý các template phiếu xuất nhập kho,Quản lý Template PDF,"Với vai trò là **Quản trị viên hệ thống**, tôi muốn quản lý các template phiếu xuất nhập để tùy chỉnh theo yêu cầu doanh nghiệp.",5,Medium,sprint 2,V1.0.0,committed,16/08/2026,30/08/2026,
31,Quản lý Tài liệu,"Quản lý phiếu xuất nhập kho, biên bản bàn giao và template PDF",Lưu trữ & Tra cứu PDF,Lưu trữ và tìm kiếm các phiếu PDF đã tạo,Lưu trữ & Tra cứu PDF,"Với vai trò là **Nhân viên kho/Thủ kho**, tôi muốn lưu và tra cứu lại các phiếu xuất nhập/BBBG đã tạo.",5,Medium,sprint 2,V1.0.0,committed,16/08/2026,30/08/2026,
32,Quản lý Tài liệu,"Quản lý phiếu xuất nhập kho, biên bản bàn giao và template PDF",Quản lý Phiếu Xuất Nhập Kho,"Tạo, lưu trữ và quản lý các phiếu chứng từ xuất nhập kho dưới dạng PDF",Trình ký nhiều phiếu nhập kho,"Với vai trò là **Thủ kho/Giám đốc kho**, tôi muốn chọn và trình ký hàng loạt nhiều phiếu nhập kho cùng lúc sang VOffice, để giảm bớt thao tác và rút ngắn thời gian phê duyệt chứng từ.",5,High,sprint 2,V1.0.0,committed,16/08/2026,30/08/2026,
