ID,Component,Component describe,Epic,Epic describe,Story,Story description,Story point,Priority,Sprint,Release,Status,Start date,End date,Attach link
11,Nhập kho,"Tiếp nhận order từ SAP, điều phối vận hành tại kho thông qua task, kiểm soát tiến độ theo SLA/KPI, cập nhật tồn kho và đồng bộ trạng thái về SAP.",Luồng nhập mua mới,Quy trình xử lý từ khi SAP đồng bộ order về AIWS đến khi kho hoàn thành task và đồng bộ trạng thái ngược về SAP.,Danh sách Task,"Quản lý/xử lý nghiệp vụ danh sách task nhập kho theo quyền, trạng thái, processProfile và rule tích hợp đã cấu hình.",2,High,sprint 1,V1.0.0,developing,01/08/2026,15/08/2026,
12,Nhập kho,"Tiếp nhận order từ SAP, điều phối vận hành tại kho thông qua task, kiểm soát tiến độ theo SLA/KPI, cập nhật tồn kho và đồng bộ trạng thái về SAP.",Luồng nhập mua mới,Quy trình xử lý từ khi SAP đồng bộ order về AIWS đến khi kho hoàn thành task và đồng bộ trạng thái ngược về SAP.,[Task] Export Excel,Export danh sách task theo điều kiện tìm kiếm.,2,Low,sprint 1,V1.0.0,developing,01/08/2026,15/08/2026,
13,Nhập kho,"Tiếp nhận order từ SAP, điều phối vận hành tại kho thông qua task, kiểm soát tiến độ theo SLA/KPI, cập nhật tồn kho và đồng bộ trạng thái về SAP.",Luồng nhập mua mới,Quy trình xử lý từ khi SAP đồng bộ order về AIWS đến khi kho hoàn thành task và đồng bộ trạng thái ngược về SAP.,[Task] Tìm kiếm nhanh,Tìm kiếm nhanh task theo mã lệnh.,2,High,sprint 1,V1.0.0,developing,01/08/2026,15/08/2026,
14,Nhập kho,"Tiếp nhận order từ SAP, điều phối vận hành tại kho thông qua task, kiểm soát tiến độ theo SLA/KPI, cập nhật tồn kho và đồng bộ trạng thái về SAP.",Luồng nhập mua mới,Quy trình xử lý từ khi SAP đồng bộ order về AIWS đến khi kho hoàn thành task và đồng bộ trạng thái ngược về SAP.,[Task] Tìm kiếm nâng cao,Tìm kiếm task theo bộ điều kiện tìm kiếm.,2,Medium,sprint 1,V1.0.0,developing,01/08/2026,15/08/2026,
15,Nhập kho,"Tiếp nhận order từ SAP, điều phối vận hành tại kho thông qua task, kiểm soát tiến độ theo SLA/KPI, cập nhật tồn kho và đồng bộ trạng thái về SAP.",Luồng nhập mua mới,Quy trình xử lý từ khi SAP đồng bộ order về AIWS đến khi kho hoàn thành task và đồng bộ trạng thái ngược về SAP.,Xác nhận lệnh nhập,"Quản lý/xử lý nghiệp vụ xác nhận lệnh theo quyền, trạng thái, processProfile và rule tích hợp đã cấu hình.",3,High,sprint 1,V1.0.0,developing,01/08/2026,15/08/2026,
16,Nhập kho,"Tiếp nhận order từ SAP, điều phối vận hành tại kho thông qua task, kiểm soát tiến độ theo SLA/KPI, cập nhật tồn kho và đồng bộ trạng thái về SAP.",Luồng nhập mua mới,Quy trình xử lý từ khi SAP đồng bộ order về AIWS đến khi kho hoàn thành task và đồng bộ trạng thái ngược về SAP.,Duyệt lịch giao việc / Giao việc tự động rule-based,"Quản lý/xử lý nghiệp vụ duyệt lịch giao việc/giao việc tự động rule-based theo quyền, trạng thái, processProfile và rule tích hợp đã cấu hình.",5,Medium,sprint 1,V1.0.0,developing,01/08/2026,15/08/2026,
17,Nhập kho,"Tiếp nhận order từ SAP, điều phối vận hành tại kho thông qua task, kiểm soát tiến độ theo SLA/KPI, cập nhật tồn kho và đồng bộ trạng thái về SAP.",Luồng nhập mua mới,Quy trình xử lý từ khi SAP đồng bộ order về AIWS đến khi kho hoàn thành task và đồng bộ trạng thái ngược về SAP.,Kiểm hàng & Ký BBBG,"Quản lý/xử lý nghiệp vụ kiểm hàng & ký bbbg theo quyền, trạng thái, processProfile và rule tích hợp đã cấu hình.",3,High,sprint 1,V1.0.0,developing,01/08/2026,15/08/2026,
18,Nhập kho,"Tiếp nhận order từ SAP, điều phối vận hành tại kho thông qua task, kiểm soát tiến độ theo SLA/KPI, cập nhật tồn kho và đồng bộ trạng thái về SAP.",Luồng nhập mua mới,Quy trình xử lý từ khi SAP đồng bộ order về AIWS đến khi kho hoàn thành task và đồng bộ trạng thái ngược về SAP.,Dỡ hàng,"Quản lý/xử lý nghiệp vụ dỡ hàng theo quyền, trạng thái, processProfile và rule tích hợp đã cấu hình.",3,High,sprint 1,V1.0.0,developing,01/08/2026,15/08/2026,
19,Nhập kho,"Tiếp nhận order từ SAP, điều phối vận hành tại kho thông qua task, kiểm soát tiến độ theo SLA/KPI, cập nhật tồn kho và đồng bộ trạng thái về SAP.",Luồng nhập mua mới,Quy trình xử lý từ khi SAP đồng bộ order về AIWS đến khi kho hoàn thành task và đồng bộ trạng thái ngược về SAP.,Đưa vào khu chờ nhập,"Quản lý/xử lý nghiệp vụ đưa vào khu chờ nhập theo quyền, trạng thái, processProfile và rule tích hợp đã cấu hình.",3,High,sprint 1,V1.0.0,developing,01/08/2026,15/08/2026,
20,Nhập kho,"Tiếp nhận order từ SAP, điều phối vận hành tại kho thông qua task, kiểm soát tiến độ theo SLA/KPI, cập nhật tồn kho và đồng bộ trạng thái về SAP.",Luồng nhập mua mới,Quy trình xử lý từ khi SAP đồng bộ order về AIWS đến khi kho hoàn thành task và đồng bộ trạng thái ngược về SAP.,Thực nhập kho,"Quản lý/xử lý nghiệp vụ thực nhập kho theo quyền, trạng thái, processProfile và rule tích hợp đã cấu hình.",3,High,sprint 1,V1.0.0,developing,01/08/2026,15/08/2026,
21,Nhập kho,"Tiếp nhận order từ SAP, điều phối vận hành tại kho thông qua task, kiểm soát tiến độ theo SLA/KPI, cập nhật tồn kho và đồng bộ trạng thái về SAP.",Luồng nhập mua mới,Quy trình xử lý từ khi SAP đồng bộ order về AIWS đến khi kho hoàn thành task và đồng bộ trạng thái ngược về SAP.,Trình ký VOffice,"Quản lý/xử lý nghiệp vụ trình ký voffice theo quyền, trạng thái, processProfile và rule tích hợp đã cấu hình.",5,High,sprint 1,V1.0.0,developing,01/08/2026,15/08/2026,
22,Nhập kho,"Tiếp nhận order từ SAP, điều phối vận hành tại kho thông qua task, kiểm soát tiến độ theo SLA/KPI, cập nhật tồn kho và đồng bộ trạng thái về SAP.",Luồng nhập mua mới,Quy trình xử lý từ khi SAP đồng bộ order về AIWS đến khi kho hoàn thành task và đồng bộ trạng thái ngược về SAP.,Đưa hàng ra khu đóng gói,"Quản lý/xử lý nghiệp vụ đưa hàng ra khu đóng gói theo quyền, trạng thái, processProfile và rule tích hợp đã cấu hình.",3,High,sprint 1,V1.0.0,developing,01/08/2026,15/08/2026,
23,Nhập kho,"Tiếp nhận order từ SAP, điều phối vận hành tại kho thông qua task, kiểm soát tiến độ theo SLA/KPI, cập nhật tồn kho và đồng bộ trạng thái về SAP.",Luồng nhập mua mới,Quy trình xử lý từ khi SAP đồng bộ order về AIWS đến khi kho hoàn thành task và đồng bộ trạng thái ngược về SAP.,Đóng gói hàng & In tem,"Quản lý/xử lý nghiệp vụ đóng gói hàng & in tem theo quyền, trạng thái, processProfile và rule tích hợp đã cấu hình.",3,High,sprint 1,V1.0.0,developing,01/08/2026,15/08/2026,
24,Nhập kho,"Tiếp nhận order từ SAP, điều phối vận hành tại kho thông qua task, kiểm soát tiến độ theo SLA/KPI, cập nhật tồn kho và đồng bộ trạng thái về SAP.",Luồng nhập mua mới,Quy trình xử lý từ khi SAP đồng bộ order về AIWS đến khi kho hoàn thành task và đồng bộ trạng thái ngược về SAP.,Đưa vào lưu trữ / Putaway,"Quản lý/xử lý nghiệp vụ đưa vào lưu trữ/putaway theo quyền, trạng thái, processProfile và rule tích hợp đã cấu hình.",3,High,sprint 1,V1.0.0,developing,01/08/2026,15/08/2026,
25,Nhập kho,"Tiếp nhận order từ SAP, điều phối vận hành tại kho thông qua task, kiểm soát tiến độ theo SLA/KPI, cập nhật tồn kho và đồng bộ trạng thái về SAP.",Luồng nhập mua mới,Quy trình xử lý từ khi SAP đồng bộ order về AIWS đến khi kho hoàn thành task và đồng bộ trạng thái ngược về SAP.,Đồng bộ lệnh nhập kho từ SAP/vERP,SAP đẩy thông tin lệnh nhập sang AIWS để AIWS tạo order nhập và sinh task nghiệp vụ tại kho.,5,High,sprint 1,V1.0.0,developing,01/08/2026,15/08/2026,
26,Nhập kho,"Tiếp nhận order từ SAP, điều phối vận hành tại kho thông qua task, kiểm soát tiến độ theo SLA/KPI, cập nhật tồn kho và đồng bộ trạng thái về SAP.",Luồng nhập mua mới,Quy trình xử lý từ khi SAP đồng bộ order về AIWS đến khi kho hoàn thành task và đồng bộ trạng thái ngược về SAP.,Dashboard thống kê lệnh nhập,"Hiển thị tổng quan tồn kho, phân bổ tồn, hiệu suất vận hành hệ thống, quản lý lệnh, quản lý tiến độ, quản lý task.",3,Low,sprint 1,V1.0.0,developing,2026-08-01,2026-08-15,
27,Nhập kho,"Tiếp nhận order từ SAP, điều phối vận hành tại kho thông qua task, kiểm soát tiến độ theo SLA/KPI, cập nhật tồn kho và đồng bộ trạng thái về SAP.",Luồng nhập mua mới,Quy trình xử lý từ khi SAP đồng bộ order về AIWS đến khi kho hoàn thành task và đồng bộ trạng thái ngược về SAP.,Phân công lại người phụ trách công việc,Cho phép người quản lý phân công lại task con hoặc người phụ trách order nếu có quyền.,3,Medium,sprint 1,V1.0.0,developing,2026-08-01,2026-08-15,
