ID,Component,Component Describe,Epic,Epic Describe,Story,Story Description,SP,Priority,Sprint,Release,Status,Start Date,End Date,Attach Link
US-070,Danh mục,Quản lý dữ liệu tĩnh/tham chiếu dùng chung,Quản lý Công cụ lưu trữ (CCLT),"Chuẩn hóa thông số Pallet, thùng chứa, bao bì đóng gói và thẻ RFID",Quét tra cứu & gán mã RFID công cụ [Web/Mobile],"Với vai trò là **Nhân viên kho**, tôi muốn dùng thiết bị Mobile hoặc máy đọc RFID Web quét thẻ RFID/Barcode trên Pallet/thùng chứa để gán mã nhanh.",3,Medium,—,V1.0.0,planned,—,—,
US-009,Danh mục,Quản lý dữ liệu tĩnh/tham chiếu dùng chung,Quản lý Sản phẩm,Đồng bộ danh mục sản phẩm từ SAP và lưu cấu hình đóng gói,Đồng bộ sản phẩm từ SAP [System/Web],"Với vai trò là **Hệ thống/Thủ kho**, tôi muốn tự động hoặc chủ động đồng bộ danh mục sản phẩm từ SAP về AIWS để dữ liệu SKU luôn đồng nhất.",3,High,sprint 2,V1.0.0,committed,16/08/2026,30/08/2026,
US-010,Danh mục,Quản lý dữ liệu tĩnh/tham chiếu dùng chung,Quản lý Sản phẩm,Đồng bộ danh mục sản phẩm từ SAP và lưu cấu hình đóng gói,Xem danh sách sản phẩm [Web/Mobile],"Với vai trò là **Thủ kho/Nhân viên kho**, tôi muốn xem danh sách sản phẩm, tìm kiếm theo tên/mã sản phẩm và lọc theo danh mục trên Web và Mobile.",2,Medium,sprint 2,V1.0.0,committed,16/08/2026,30/08/2026,
US-011,Danh mục,Quản lý dữ liệu tĩnh/tham chiếu dùng chung,Quản lý Sản phẩm,Đồng bộ danh mục sản phẩm từ SAP và lưu cấu hình đóng gói,Xem chi tiết sản phẩm [Web/Mobile],"Với vai trò là **Thủ kho/Nhân viên kho**, tôi muốn xem chi tiết thông tin sản phẩm bao gồm kích thước đóng gói, quy cách, hình ảnh và tồn kho trên Web/Mobile.",2,Low,sprint 2,V1.0.0,committed,16/08/2026,30/08/2026,
US-071,Danh mục,Quản lý dữ liệu tĩnh/tham chiếu dùng chung,Quản lý Sản phẩm,Đồng bộ danh mục sản phẩm từ SAP và lưu cấu hình đóng gói,Quét Barcode/QR tra cứu sản phẩm [Web/Mobile],"Với vai trò là **Nhân viên kho**, tôi muốn quét mã vạch Barcode/QR trên vỏ hộp bằng ứng dụng Mobile/Web để xem tên SKU và vị trí tồn kho.",2,High,—,V1.0.0,planned,—,—,
US-012,Danh mục,Quản lý dữ liệu tĩnh/tham chiếu dùng chung,Quản lý Đối tác,Đồng bộ thông tin nhà cung cấp và đối tác vận chuyển từ SAP,Đồng bộ đối tác từ SAP [System/Web],"Với vai trò là **Hệ thống/Thủ kho**, tôi muốn đồng bộ danh sách đối tác (nhà cung cấp, khách hàng, nhà xe) từ hệ thống SAP sang AIWS.",3,High,—,V1.0.0,planned,—,—,
US-013,Danh mục,Quản lý dữ liệu tĩnh/tham chiếu dùng chung,Quản lý Đối tác,Đồng bộ thông tin nhà cung cấp và đối tác vận chuyển từ SAP,Xem danh sách đối tác [Web/Mobile],"Với vai trò là **Thủ kho/Quản lý kho**, tôi muốn tra cứu và lọc danh sách đối tác theo loại hình trên Web và Mobile.",2,Medium,—,V1.0.0,planned,—,—,
US-014,Danh mục,Quản lý dữ liệu tĩnh/tham chiếu dùng chung,Quản lý Đối tác,Đồng bộ thông tin nhà cung cấp và đối tác vận chuyển từ SAP,Xem chi tiết đối tác [Web/Mobile],"Với vai trò là **Thủ kho/Quản lý kho**, tôi muốn xem chi tiết thông tin liên hệ, lịch sử giao dịch và thông tin hợp đồng của đối tác trên Web và Mobile.",2,Low,—,V1.0.0,planned,—,—,
US-072,Danh mục,Quản lý dữ liệu tĩnh/tham chiếu dùng chung,Quản lý Đối tác,Đồng bộ thông tin nhà cung cấp và đối tác vận chuyển từ SAP,Tra cứu nhanh thông tin đối tác [Web/Mobile],"Với vai trò là **Bảo vệ/Phụ kho**, tôi muốn xem nhanh danh sách và thông tin liên hệ đối tác giao hàng/nhà xe trên Web và Mobile khi xe tới cổng kho.",2,Low,—,V1.0.0,planned,—,—,
US-015,Danh mục,Quản lý dữ liệu tĩnh/tham chiếu dùng chung,Quản lý Phương tiện,"Quản lý danh sách xe tải, tải trọng, thể tích vận chuyển",Xem danh sách phương tiện [Web/Mobile],"Với vai trò là **Quản lý Logistics**, tôi muốn xem danh sách các phương tiện vận chuyển đăng ký trong hệ thống trên Web và Mobile và lọc theo biển số.",2,High,—,V1.0.0,planned,—,—,
US-016,Danh mục,Quản lý dữ liệu tĩnh/tham chiếu dùng chung,Quản lý Phương tiện,"Quản lý danh sách xe tải, tải trọng, thể tích vận chuyển",Thêm mới phương tiện vận chuyển [Web/Mobile],"Với vai trò là **Quản lý Logistics**, tôi muốn đăng ký một phương tiện vận chuyển mới với biển số, loại xe, tải trọng và thể tích chứa hàng trên Web và Mobile.",3,High,—,V1.0.0,planned,—,—,
US-073,Danh mục,Quản lý dữ liệu tĩnh/tham chiếu dùng chung,Quản lý Phương tiện,"Quản lý danh sách xe tải, tải trọng, thể tích vận chuyển",Tra cứu phương tiện & tài xế phụ trách [Web/Mobile],"Với vai trò là **Bảo vệ/Điều phối**, tôi muốn tra cứu thông tin phương tiện và tài xế phụ trách trên Web và Mobile để kiểm soát xe ra vào kho.",2,Medium,—,V1.0.0,planned,—,—,
US-017,Cấu hình,Tham số và quy tắc vận hành hệ thống,Quản lý Tuyến đường,Quy hoạch tuyến đường nhận hàng và lộ trình giao vận,Cấu hình tuyến đường vận chuyển [Web/Mobile],"Với vai trò là **Quản lý Logistics**, tôi muốn xem và thiết lập các tuyến đường vận chuyển hàng hóa nội bộ hoặc từ nhà cung cấp trên Web và Mobile.",3,Medium,—,V1.0.0,planned,—,—,
US-018,Cấu hình,Tham số và quy tắc vận hành hệ thống,Quản lý KPI,Thiết lập thời gian chuẩn (Leadtime) và SLA cho từng bước nghiệp vụ,Xem danh sách KPI chuẩn [Web/Mobile],"Với vai trò là **Quản lý Kho**, tôi muốn xem danh sách các chỉ tiêu KPI/SLA áp dụng cho từng nhiệm vụ/phòng ban trên Web và Mobile.",2,Medium,sprint 2,V1.0.0,committed,16/08/2026,30/08/2026,
US-019,Cấu hình,Tham số và quy tắc vận hành hệ thống,Quản lý KPI,Thiết lập thời gian chuẩn (Leadtime) và SLA cho từng bước nghiệp vụ,Cấu hình KPI & SLA chi tiết [Web],"Với vai trò là **Quản lý Kho**, tôi muốn thiết lập trọng số, công thức tính và điều chỉnh thời gian Leadtime chuẩn cho từng loại task trên Web.",3,High,sprint 2,V1.0.0,committed,16/08/2026,30/08/2026,
US-020,Cấu hình,Tham số và quy tắc vận hành hệ thống,Quản lý Chân ký,Thiết lập luồng phê duyệt và trình ký tự động qua VOffice,Xem danh sách mẫu chân ký [Web/Mobile],"Với vai trò là **Quản trị viên Kho/Thủ kho**, tôi muốn xem danh sách các mẫu chân ký và luồng ký số duyệt chứng từ đang có trên Web và Mobile.",2,High,sprint 2,V1.0.0,committed,16/08/2026,30/08/2026,
US-021,Cấu hình,Tham số và quy tắc vận hành hệ thống,Quản lý Chân ký,Thiết lập luồng phê duyệt và trình ký tự động qua VOffice,Thêm mới mẫu chân ký [Web],"Với vai trò là **Quản trị viên Kho**, tôi muốn tải lên chữ ký số/ảnh chữ ký và gán cho người dùng hoặc chức vụ tương ứng trên Web để tạo luồng ký VOffice.",3,High,sprint 2,V1.0.0,committed,16/08/2026,30/08/2026,
US-022,Cấu hình,Tham số và quy tắc vận hành hệ thống,Quản lý Chân ký,Thiết lập luồng phê duyệt và trình ký tự động qua VOffice,Chỉnh sửa mẫu chân ký [Web],"Với vai trò là **Quản trị viên Kho**, tôi muốn chỉnh sửa thông tin người ký hoặc cập nhật lại ảnh chữ ký trong mẫu chân ký hiện có trên Web.",2,Medium,sprint 2,V1.0.0,committed,16/08/2026,30/08/2026,
US-023,Cấu hình,Tham số và quy tắc vận hành hệ thống,Quản lý Chân ký,Thiết lập luồng phê duyệt và trình ký tự động qua VOffice,Xem chi tiết mẫu chân ký [Web/Mobile],"Với vai trò là **Quản trị viên Kho/Thủ kho**, tôi muốn xem chi tiết thông tin mẫu chân ký bao gồm danh sách người sở hữu và lịch sử ký duyệt trên Web/Mobile.",2,Low,sprint 2,V1.0.0,committed,16/08/2026,30/08/2026,
US-051-A,Cấu hình,Tham số và quy tắc vận hành hệ thống,Quản lý RFID,Cấu hình và gắn mã RFID cho từng ô kệ bãi,Khai báo dải mã RFID vị trí ô kệ [Web/Mobile],Khai báo và quản lý danh mục dải mã thẻ RFID gán cho từng vị trí ô kệ bãi bến trên Web và Mobile.,2,High,sprint 2,V1.0.0,committed,16/08/2026,30/08/2026,
US-051-B,Cấu hình,Tham số và quy tắc vận hành hệ thống,Quản lý RFID,Cấu hình và gắn mã RFID cho từng ô kệ bãi,Quét gán mã RFID vị trí hiện trường [Web/Mobile],Dùng thiết bị Mobile hoặc máy đọc RFID Web quét và ghi đè gán mã RFID thực tế vào ô kệ kho.,3,High,sprint 2,V1.0.0,committed,16/08/2026,30/08/2026,
US-052,Cấu hình,Tham số và quy tắc vận hành hệ thống,Giám sát an ninh,Tích hợp camera AI giám sát cổng và phát cảnh báo an ninh,Giám sát an ninh real-time [Web/Mobile],"Với vai trò là **Nhân viên an ninh/Thủ kho**, tôi muốn theo dõi hình ảnh camera AI giám sát cổng kho theo thời gian thực trên Web và Mobile.",3,Medium,sprint 2,V1.0.0,committed,16/08/2026,30/08/2026,
US-074,Cấu hình,Tham số và quy tắc vận hành hệ thống,Giám sát an ninh,Tích hợp camera AI giám sát cổng và phát cảnh báo an ninh,Nhận cảnh báo an ninh [Web/Mobile],"Với vai trò là **Bảo vệ/Thủ kho**, tôi muốn nhận ngay thông báo đẩy (Push notification) và xem hình ảnh cảnh báo xe lạ/vi phạm an ninh trên Web/Mobile.",3,Medium,—,V1.0.0,planned,—,—,
US-053-A,Cấu hình,Tham số và quy tắc vận hành hệ thống,Phân quyền vai trò,Quản lý phân quyền người dùng không thuộc SAP (non-SAP),Định nghĩa vai trò non-SAP [Web],"Thiết lập danh mục vai trò tác nghiệp kho (Bảo vệ, Lái nâng, Phụ kho, Thủ kho) trên Web.",2,High,sprint 2,V1.0.0,committed,16/08/2026,30/08/2026,
US-053-B,Cấu hình,Tham số và quy tắc vận hành hệ thống,Phân quyền vai trò,Quản lý phân quyền người dùng không thuộc SAP (non-SAP),Gán phân quyền Plant/SLoc cho user [Web],Gán vai trò và giới hạn phạm vi truy cập dữ liệu theo Plant/SLoc cho tài khoản non-SAP trên Web.,3,High,sprint 2,V1.0.0,committed,16/08/2026,30/08/2026,
US-054,Cấu hình,Tham số và quy tắc vận hành hệ thống,Quản lý Hàng hóa,Cập nhật cấu hình đóng gói và vị trí bãi mặc định,Cập nhật cấu hình đóng gói sản phẩm [Web/Mobile],"Với vai trò là **Thủ kho/Quản lý Kho**, tôi muốn cập nhật cấu hình sản phẩm có đóng gói hay không và chỉ định khu vực lưu kho mặc định trên Web/Mobile.",3,High,sprint 2,V1.0.0,committed,16/08/2026,30/08/2026,
US-055-A,Cấu hình,Tham số và quy tắc vận hành hệ thống,Quản lý Quy trình,Cấu hình luồng quy trình nhập/xuất kho theo điều kiện vận hành,Thiết lập quy tắc phân luồng nhập/xuất [Web],"Cấu hình luồng nhập/xuất kho động dựa trên Movement Type, loại hàng hóa và kiểm định KCS trên Web.",3,High,sprint 2,V1.0.0,committed,16/08/2026,30/08/2026,
US-055-B,Cấu hình,Tham số và quy tắc vận hành hệ thống,Quản lý Quy trình,Cấu hình luồng quy trình nhập/xuất kho theo điều kiện vận hành,Khởi tạo chuỗi task tự động [System],Tự động sinh chuỗi task con nối tiếp theo quy tắc luồng quy trình đã cấu hình.,3,High,sprint 2,V1.0.0,committed,16/08/2026,30/08/2026,
US-056-A,Cấu hình,Tham số và quy tắc vận hành hệ thống,Quản lý Quy trình,Tự động kích hoạt task sau & Job tự động phân việc sau 5 phút,Tự động kích hoạt Task kế tiếp [System],Tự động chuyển trạng thái kích hoạt task sau khi task liền trước hoàn thành thành công.,2,High,sprint 2,V1.0.0,committed,16/08/2026,30/08/2026,
US-056-B,Cấu hình,Tham số và quy tắc vận hành hệ thống,Quản lý Quy trình,Tự động kích hoạt task sau & Job tự động phân việc sau 5 phút,Job phân việc tự động sau 5 phút [System],Tự động tìm kiếm và gán task cho nhân viên kho rảnh phù hợp nếu sau 5 phút task chưa có người nhận.,3,High,sprint 2,V1.0.0,committed,16/08/2026,30/08/2026,
US-066-A,Cấu hình,Tham số và quy tắc vận hành hệ thống,Quản lý Thông báo,Tích hợp dịch vụ Push Notification thời gian thực trên di động,Dịch vụ phát Push Notification [System],"Tự động phát Push Notification thời gian thực khi sinh task mới, quá hạn SLA hoặc có cảnh báo an ninh.",3,High,sprint 2,V1.0.0,committed,16/08/2026,30/08/2026,
US-066-B,Cấu hình,Tham số và quy tắc vận hành hệ thống,Quản lý Thông báo,Tích hợp dịch vụ Push Notification thời gian thực trên di động,Giao diện nhận thông báo [Web/Mobile],Hiển thị trung tâm thông báo real-time và danh sách cảnh báo trên Web và ứng dụng Mobile.,2,High,sprint 2,V1.0.0,committed,16/08/2026,30/08/2026,
US-068-A,Cấu hình,Tham số và quy tắc vận hành hệ thống,Quản lý Đăng nhập,Tích hợp dịch vụ xác thực sinh trắc học (Vân tay/Face ID) trên di động,Cấu hình sinh trắc học đa môi trường [Mobile],Cấu hình và tích hợp SDK xác thực sinh trắc học hỗ trợ cả 2 môi trường Staging & Production.,2,High,sprint 2,V1.0.0,committed,16/08/2026,30/08/2026,
US-068-B,Cấu hình,Tham số và quy tắc vận hành hệ thống,Quản lý Đăng nhập,Tích hợp dịch vụ xác thực sinh trắc học (Vân tay/Face ID) trên di động,Đăng nhập bằng Vân tay/Face ID [Mobile],Thực hiện đăng nhập ứng dụng Mobile bằng Vân tay hoặc Face ID được cấu hình trên thiết bị di động.,3,High,sprint 2,V1.0.0,committed,16/08/2026,30/08/2026,
US-075,Cấu hình,Tham số và quy tắc vận hành hệ thống,Quản lý Đăng nhập,Tích hợp xác thực tập trung Viettel SSO,Đăng nhập Viettel SSO [Web/Mobile],Đăng nhập vào WMS Web và Mobile thông qua tài khoản Viettel SSO tập trung doanh nghiệp.,3,High,sprint 1,V1.0.0,committed,01/08/2026,15/08/2026,
US-024,Nhập kho,"Tiếp nhận order từ SAP, điều phối task nhập, cập nhật tồn kho, lập chứng từ & trình ký",Luồng nhập mua mới,Quy trình xử lý từ khi SAP đồng bộ order về AIWS đến khi kho hoàn thành task nhập và đồng bộ trạng thái về SAP.,Danh sách lệnh nhập [Web/Mobile],"Quản lý/xử lý nghiệp vụ danh sách lệnh nhập trên Web và Mobile theo quyền, trạng thái và rule tích hợp.",2,High,sprint 1,V1.0.0,developing,01/08/2026,15/08/2026,
US-025,Nhập kho,"Tiếp nhận order từ SAP, điều phối task nhập, cập nhật tồn kho, lập chứng từ & trình ký",Luồng nhập mua mới,Quy trình xử lý từ khi SAP đồng bộ order về AIWS đến khi kho hoàn thành task nhập và đồng bộ trạng thái về SAP.,Xem chi tiết lệnh nhập - Tab Hàng hóa [Web/Mobile],Xem chi tiết danh mục vật tư/hàng hóa thuộc lệnh nhập trên Web và Mobile theo phân quyền và trạng thái.,2,High,sprint 1,V1.0.0,developing,01/08/2026,15/08/2026,
US-026,Nhập kho,"Tiếp nhận order từ SAP, điều phối task nhập, cập nhật tồn kho, lập chứng từ & trình ký",Luồng nhập mua mới,Quy trình xử lý từ khi SAP đồng bộ order về AIWS đến khi kho hoàn thành task nhập và đồng bộ trạng thái về SAP.,Xem chi tiết lệnh nhập - Tab Chứng từ [Web/Mobile],"Xem và quản lý các chứng từ đính kèm (đơn hàng, hoá đơn, BBBG) của lệnh nhập trên Web và Mobile.",2,Medium,sprint 1,V1.0.0,developing,01/08/2026,15/08/2026,
US-027,Nhập kho,"Tiếp nhận order từ SAP, điều phối task nhập, cập nhật tồn kho, lập chứng từ & trình ký",Luồng nhập mua mới,Quy trình xử lý từ khi SAP đồng bộ order về AIWS đến khi kho hoàn thành task nhập và đồng bộ trạng thái về SAP.,Xem chi tiết lệnh nhập - Tab Task [Web/Mobile],Xem danh sách các task nghiệp vụ con và tiến độ thực hiện thuộc lệnh nhập trên Web và Mobile.,2,High,sprint 1,V1.0.0,developing,01/08/2026,15/08/2026,
US-028,Nhập kho,"Tiếp nhận order từ SAP, điều phối task nhập, cập nhật tồn kho, lập chứng từ & trình ký",Luồng nhập mua mới,Quy trình xử lý từ khi SAP đồng bộ order về AIWS đến khi kho hoàn thành task nhập và đồng bộ trạng thái về SAP.,Xem chi tiết lệnh nhập - Tab Kết quả KCS [Web/Mobile],Xem kết quả đánh giá chất lượng kiểm định KCS của hàng hóa nhập kho trên Web và Mobile.,2,Medium,sprint 1,V1.0.0,developing,01/08/2026,15/08/2026,
US-029,Nhập kho,"Tiếp nhận order từ SAP, điều phối task nhập, cập nhật tồn kho, lập chứng từ & trình ký",Luồng nhập mua mới,Quy trình xử lý từ khi SAP đồng bộ order về AIWS đến khi kho hoàn thành task nhập và đồng bộ trạng thái về SAP.,Xem chi tiết lệnh nhập - Tab Vận chuyển [Web/Mobile],"Xem thông tin chuyến xe, nhà xe và thông tin tài xế giao hàng nhập kho trên Web và Mobile.",2,Medium,sprint 1,V1.0.0,developing,01/08/2026,15/08/2026,
US-030,Nhập kho,"Tiếp nhận order từ SAP, điều phối task nhập, cập nhật tồn kho, lập chứng từ & trình ký",Luồng nhập mua mới,Quy trình xử lý từ khi SAP đồng bộ order về AIWS đến khi kho hoàn thành task nhập và đồng bộ trạng thái về SAP.,Xem chi tiết lệnh nhập - Tab Lịch sử [Web/Mobile],"Xem lịch sử tác động, thay đổi trạng thái và nhật ký xử lý lệnh nhập kho trên Web và Mobile.",2,Low,sprint 1,V1.0.0,developing,01/08/2026,15/08/2026,
US-031,Nhập kho,"Tiếp nhận order từ SAP, điều phối task nhập, cập nhật tồn kho, lập chứng từ & trình ký",Luồng nhập mua mới,Quy trình xử lý từ khi SAP đồng bộ order về AIWS đến khi kho hoàn thành task nhập và đồng bộ trạng thái về SAP.,[Order Nhập] Export Excel [Web],Export danh sách order nhập kho ra file Excel theo bộ điều kiện tìm kiếm trên Web.,2,Low,sprint 1,V1.0.0,developing,01/08/2026,15/08/2026,
US-032,Nhập kho,"Tiếp nhận order từ SAP, điều phối task nhập, cập nhật tồn kho, lập chứng từ & trình ký",Luồng nhập mua mới,Quy trình xử lý từ khi SAP đồng bộ order về AIWS đến khi kho hoàn thành task nhập và đồng bộ trạng thái về SAP.,[Order Nhập] Tìm kiếm nhanh [Web/Mobile],"Tìm kiếm nhanh lệnh nhập theo mã lệnh, số chứng từ trên Web và Mobile.",2,High,sprint 1,V1.0.0,developing,01/08/2026,15/08/2026,
US-033,Nhập kho,"Tiếp nhận order từ SAP, điều phối task nhập, cập nhật tồn kho, lập chứng từ & trình ký",Luồng nhập mua mới,Quy trình xử lý từ khi SAP đồng bộ order về AIWS đến khi kho hoàn thành task nhập và đồng bộ trạng thái về SAP.,[Order Nhập] Tìm kiếm nâng cao [Web/Mobile],"Tìm kiếm order nhập theo nhiều tiêu chí (ngày tạo, trạng thái, nhà cung cấp, loại nhập) trên Web/Mobile.",2,Medium,sprint 1,V1.0.0,developing,01/08/2026,15/08/2026,
US-038,Nhập kho,"Tiếp nhận order từ SAP, điều phối task nhập, cập nhật tồn kho, lập chứng từ & trình ký",Luồng nhập mua mới,Quy trình xử lý từ khi SAP đồng bộ order về AIWS đến khi kho hoàn thành task nhập và đồng bộ trạng thái về SAP.,Xác nhận lệnh nhập [Web/Mobile],Tiếp nhận và xác nhận lệnh nhập kho từ SAP trên Web và Mobile để kích hoạt chuỗi task nghiệp vụ tại kho.,3,High,sprint 1,V1.0.0,developing,01/08/2026,15/08/2026,
US-048-A,Nhập kho,"Tiếp nhận order từ SAP, điều phối task nhập, cập nhật tồn kho, lập chứng từ & trình ký",Luồng nhập mua mới,Quy trình xử lý từ khi SAP đồng bộ order về AIWS đến khi kho hoàn thành task nhập và đồng bộ trạng thái về SAP.,Validate dữ liệu lệnh nhập từ SAP [System],Xử lý API tiếp nhận & kiểm tra tính hợp lệ dữ liệu payload lệnh nhập được SAP/vERP truyền sang.,2,High,sprint 1,V1.0.0,developing,01/08/2026,15/08/2026,
US-048-B,Nhập kho,"Tiếp nhận order từ SAP, điều phối task nhập, cập nhật tồn kho, lập chứng từ & trình ký",Luồng nhập mua mới,Quy trình xử lý từ khi SAP đồng bộ order về AIWS đến khi kho hoàn thành task nhập và đồng bộ trạng thái về SAP.,Tạo Order Nhập & Sinh Task từ SAP [System],Khởi tạo đơn Order Nhập kho chính thức và sinh chuỗi Task nghiệp vụ tương ứng từ dữ liệu SAP.,3,High,sprint 1,V1.0.0,developing,01/08/2026,15/08/2026,
US-034,Nhập kho,"Tiếp nhận order từ SAP, điều phối task nhập, cập nhật tồn kho, lập chứng từ & trình ký",Luồng nhập mua mới,Quy trình xử lý từ khi SAP đồng bộ order về AIWS đến khi kho hoàn thành task nhập và đồng bộ trạng thái về SAP.,Danh sách Task nhập kho [Web/Mobile],Quản lý/xử lý nghiệp vụ danh sách task nhập kho tổng thể trên Web và Mobile.,2,High,sprint 1,V1.0.0,developing,01/08/2026,15/08/2026,
US-035,Nhập kho,"Tiếp nhận order từ SAP, điều phối task nhập, cập nhật tồn kho, lập chứng từ & trình ký",Luồng nhập mua mới,Quy trình xử lý từ khi SAP đồng bộ order về AIWS đến khi kho hoàn thành task nhập và đồng bộ trạng thái về SAP.,[Task Nhập] Export Excel [Web],Export danh sách task nhập kho theo bộ điều kiện tìm kiếm ra Excel.,2,Low,sprint 1,V1.0.0,developing,01/08/2026,15/08/2026,
